_text|_rt_count|_tweet_datetime
@CringeLMAO: Easy there m8 https://t.co/dnF3Wqdt1C|2084|Mon Feb 15 20:44:33 +0000 2016
@AustinMahone: Just posted a photo https://t.co/hXFg6TyuzE|1059|Mon Feb 15 20:44:33 +0000 2016
@Ashton5SOS: Some days I drink way to much coffee and fill your Twitter feeds with stupid replies and pointless videos, I ain't sorry ok|24121|Mon Feb 15 20:44:33 +0000 2016
@lailamuhammad: When you nail that #Beyonc   move #slay Directed by @MarqCotton @BuckeyeBond83 The reason behind it Tues at 11 @WTKR3 htt   |801|Mon Feb 15 20:44:33 +0000 2016
@BDBANDS: MOOD         https://t.co/NMlFBJZtic|1856|Mon Feb 15 20:44:33 +0000 2016
@TheGRAMMYs: Congrats Best Pop Vocal Album @taylorswift13 - '1989' #GRAMMYs https://t.co/6gqbPR2JmW|3747|Mon Feb 15 20:44:33 +0000 2016
@taylorcaniff: Never mind I'm snowed in again I can't quit laughing|1961|Mon Feb 15 20:44:33 +0000 2016
@Ashton5SOS: But this is the obvious reason I have 12 million less followers than the rest of the band|21948|Mon Feb 15 20:44:33 +0000 2016
@TheGRAMMYs: Congrats Best Pop Vocal Album @taylorswift13 - '1989' #GRAMMYs https://t.co/6gqbPR2JmW|3747|Mon Feb 15 20:44:33 +0000 2016
@FemaleTexts: February 15th?? You mean annoy squidward day? https://t.co/k06HAUNeoM|2426|Mon Feb 15 20:44:33 +0000 2016
@AustinMahone: Maybe I'll make a country song today|1826|Mon Feb 15 20:44:33 +0000 2016
@DrakeBible_: this is the warriors reporter omg drake tryna wife her up      https://t.co/sS09KSOXOB|2659|Mon Feb 15 20:44:33 +0000 2016
"@CuteEmergency: ""I'm okay!"" https://t.co/TWMwjG03Fd"|617|Mon Feb 15 20:44:33 +0000 2016
@BabyAnimalPics: LOOK HOW HE JUST SHAKES OFF HIS GOGGLES https://t.co/i6dvIw2x7O|12067|Mon Feb 15 20:44:33 +0000 2016
@carterreynolds: There's nothing better than a good girl who's only bad for you|1278|Mon Feb 15 20:44:33 +0000 2016
@TheGRAMMYs: Congrats Best Pop Vocal Album @taylorswift13 - '1989' #GRAMMYs https://t.co/6gqbPR2JmW|3747|Mon Feb 15 20:44:33 +0000 2016
@StockpiIe: I can send you a text at 12:04 &amp; be asleep by 12:05|752|Mon Feb 15 20:44:33 +0000 2016
@LaurenJauregui: You are simply alive. https://t.co/FSzuksBUpQ|8916|Mon Feb 15 20:44:33 +0000 2016
@TheKitchensHeat: Eddie Griffin- on racism in Hollywood https://t.co/tFh5wMGJVb|4361|Mon Feb 15 20:44:33 +0000 2016
@TheFitGoals: Need https://t.co/NqqXrfPfQw|1462|Mon Feb 15 20:44:33 +0000 2016
@Divergent: Crazy FOUR you, Initiates! Happy Valentine   s Day!     https://t.co/T4NEOAVOqe|1231|Mon Feb 15 20:44:33 +0000 2016
@kanyewest: This is a God dream|16044|Mon Feb 15 20:44:33 +0000 2016
@irlsimi: this article is fucking disgusting i'm so offended and upset by it i don't even know what to say https://t.co/S9g9yDwAYb|10799|Mon Feb 15 20:48:46 +0000 2016
@kanyewest: I   m this generation's Disney    I want to bring dope shit to the world   |22244|Mon Feb 15 20:48:46 +0000 2016
@kanyewest: No matter what level you're at in life there is still a struggle|46505|Mon Feb 15 20:48:46 +0000 2016
@daggertattooH: when we heard louis' laugh coming from inside the car that picked harry up https://t.co/AEYqtaXyXp|549|Mon Feb 15 20:48:46 +0000 2016
@WORLDSTARVlNE: THIS STILL KILLS ME      https://t.co/HfYQtEMY9C|631|Mon Feb 15 20:48:46 +0000 2016
@broken: I like my music at a volume where I can't hear you.|8627|Mon Feb 15 20:48:46 +0000 2016
@TheGRAMMYs: Congrats Best Pop Vocal Album @taylorswift13 - '1989' #GRAMMYs https://t.co/6gqbPR2JmW|7028|Mon Feb 15 20:48:46 +0000 2016
@JusticeBlaine: Antonin #Scalia requested cremation in his will, but millions of women will meet tomorrow to discuss if that's really be   |19949|Mon Feb 15 20:48:46 +0000 2016
@ArianaGrande: 1 yr since 1 of my fav vids came out! thank u to everybody who participated in creating it&amp; everyone who showed love http   |4076|Mon Feb 15 20:48:46 +0000 2016
@MallowandMarsh: It's #MallowMondays, and this week it's mini-box week! For your chance to #win 5 mini boxes, just RT and Follow! GL htt   |1381|Mon Feb 15 20:48:46 +0000 2016
@fanprobIem: WHY THE FUCK DO WE HAVE TO PAY SO MUCH GOD DAMN MONEY TO GO TO A CONCERT|1649|Mon Feb 15 20:48:46 +0000 2016
@Pontifex: Among the poor being treated worst is our planet. We cannot pretend all is fine in the face of the great environmental crisis.|633|Mon Feb 15 20:48:46 +0000 2016
@TheFunnyVine: Me today https://t.co/nGqpK4liJ9|1279|Mon Feb 15 20:48:46 +0000 2016
@ShawnMendes: At 100 years old if i can tell my self that i made the people around me happy, id peace out with a smile on my face.|9067|Mon Feb 15 20:48:46 +0000 2016
@ArianaGrande: 1 yr since 1 of my fav vids came out! thank u to everybody who participated in creating it&amp; everyone who showed love http   |4076|Mon Feb 15 20:48:46 +0000 2016
@TheGRAMMYs: Congrats Best Pop Vocal Album @taylorswift13 - '1989' #GRAMMYs https://t.co/6gqbPR2JmW|7028|Mon Feb 15 20:48:46 +0000 2016
@Caspar_Lee: New video: BRAIN FREEZE CHALLENEGE ft. @lifeaseva https://t.co/HOBpueDD9F|726|Mon Feb 15 20:48:46 +0000 2016
@taylorswift13: @TheGRAMMYs I AM SCREAMING|5060|Mon Feb 15 20:52:24 +0000 2016
@AnimalPlizanet: When you see the girl that's always rt'ing your selfies in real life              https://t.co/yTLGA7xv6H|893|Mon Feb 15 20:52:24 +0000 2016
@cul555666: Been working on a sick new skate trick. http://t.co/oUC087lIub|1621|Mon Feb 15 20:52:24 +0000 2016
@kanyewest: I am of service to the world with my art and I just want to serve more.|7593|Mon Feb 15 20:52:24 +0000 2016
@Dutty_Jermz: The White House never gon be the same     https://t.co/yrzvdGEWoI|9372|Mon Feb 15 20:52:24 +0000 2016
@sweetziamstory: Hey, Zayn and Liam ! I wrote this for u know how much I love you         hope you notice and follow me one day            https://t.   |1038|Mon Feb 15 20:52:24 +0000 2016
"@StuAthProblems: Kobe Bryant, 1st All-Star Game

Kobe Bryant, Last All-Star Game https://t.co/5TW9lBvrqi"|637|Mon Feb 15 20:52:24 +0000 2016
@iconickkk: 8. THIS IS SO UNDERRATED IM CRYING https://t.co/h0u1FNYttz|7843|Mon Feb 15 20:52:24 +0000 2016
@30SecondsFight: That stance, the disrespect, the look at the camera. Smh savage      https://t.co/ER6aY8ceXE|1010|Mon Feb 15 20:52:24 +0000 2016
@VenturePlaces: rather be at the beach https://t.co/cplAASfqik|1184|Mon Feb 15 20:52:24 +0000 2016
@KOlusola: AHHHHHHHHHHHHH WE DID IT!!! 2X GRAMMY AWARD WINNING ARTIST PENTATONIX|525|Mon Feb 15 20:52:24 +0000 2016
